text,label,char_length,word_count
movie vara level la Erika poguthu,Not_offensive,33,6
I love Ajith Kumar Vivegam movie inki mjy bht achi lgi,not-Tamil,54,11
Padam nalla comedy padama irukum polaye..,Not_offensive,41,6
karthick subburaj anne... intha padam vetri adaya unagalukku ennudaya valthukkal...,Not_offensive,85,11
கவுண்டர் தேவர்.சார்பாக வெற்றி பெற வாழ்த்துக்கள் 🦁,Not_offensive,49,6
ippo intha trailer ah parkuravana oru like podunga,Not_offensive,50,8
En thalaivan yogi babu irukkaar. Padam vera level laa irukkum,Not_offensive,61,10
Nerkonda parvai... Sema sema sema trailer,Not_offensive,42,6
ஏய் இது 96 யார் ஏமாத்தறீங்க? செம பின்னிட்டீங்க,Not_offensive,46,7
படம் கண்டிப்பாக வெற்றி பெற வேண்டும் செம்ம vara level,Not_offensive,52,8
Correct. Enga apa military da oodi vilaiyada solli tharuvaaaayaa,Offensive_Targeted_Insult_Other,64,9
Dislike pottavan ratham khaki dha savan,Not_offensive,39,6
ANANDHI ARMY HIT LIKE!! Ennayum ipdi aakitingale Anandi... #AnbukkuNanAdimai,Not_offensive,76,9
Thalaivaa mass nadipin nayagan surya anna fans hits like,Not_offensive,56,9
இந்த படம் கண்டிப்பாக வெற்றியடைய வேண்டும் என வாழ்த்துகிறேன்...,Not_offensive,62,7
Hit like if anybody laughed during this 1.06... Thaamasuuuu!!,Not_offensive,63,10
"I Love vijay Anna, u r so cute anna",Not_offensive,35,9
Dei Rajini pavam da ne varaven poraven ellam karithuppatha koraiya pesittu erukkan 1:58,Offensive_Targeted_Insult_Group,87,13
செட்டியார் இன மக்கள் சார்பாக எனது சொந்த செலவில் 100 டிக்கெட் இலவசமாக வழங்குகிறேன். படக்குழுவினர்க்கு எனது மனமார்ந்த வாழ்த்துக்கள்,Not_offensive,129,15
Dhanush fans hit like here...,Not_offensive,31,5
"Dey dey deyyy,, loosu pasangala,, munna pinna jayalalitha amma va pathrukingalada gambeeramna ennanu avanga kannula tha paakanum,, amma oda history ah ithu,, soniya gandhi mari iruku chaiiii,,, avanga bio edukanumna a-z pathutu vanthu edungadaa,, dummy akkaathinga",Offensive_Targeted_Insult_Group,264,36
aathii yenna pa different aah eruku sama,Not_offensive,40,7
Viswasam teaser Ku aprm yarllam inga vanteenga?,Not_offensive,47,7
Intha maari comments ku like kekuravangala india va vittu veliya annupanum,Offensive_Untargetede,74,11
250 k likes ineram sila arivuketta pundaika ithku karanam vivek obrai ila kajal ila aksara kakathanu innum sollala?,Offensive_Untargetede,115,18
Ellam okay than...but antha ponnu aasa pattu love panni avanaiye kola panna thappu illaya...yosinga...,Not_offensive,112,14
Short film ah yum vittu vakalaya... Enada panni vachirukeenga,Offensive_Untargetede,61,9
Super i am waiting,Not_offensive,19,4
Any Nani and Surya mutual fans?,Not_offensive,31,6
தமிழ் நாட்ல இருக்குற சாதிய பைத்தியகார கூதியானுங்கள எல்லாம் ஓரே இடத்தில் பார்க்க ஒரு வாய்ப்பை தந்த மோகன் வன்னிக்கு சாரி பன்னிக்கு நன்றிகள்,Offensive_Targeted_Insult_Group,137,18
അണ്ണ പൊളി 259 k likes in 4hours...,not-Tamil,37,8
Kekka bekka short film mathiri iruku,Not_offensive,36,6
في قناتي على اليوتيوب ( كل ماتتمناه 18 ) ًاشتركو في قناتي فضلً منكم ولا يسى امرا,not-Tamil,81,17
"உங்க எல்லோரையும் பா. ரஞ்சித் எப்படி எல்லாம் கதர விட்டு இருக்காருன்னு இப்ப தான் புரியுது. அட்டகத்தி, மெட்ராஸ், பரியேறும் பெருமாள் இன்னும் எத்தனையோ படம் இன்னும் வர போகுது அதுக்கு எல்லோரும் மனச தேர்தி கொள்ளுங்க நண்பா",Not_offensive,213,28
Hit Like If U Felt Watching #Sarkar Movie,Not_offensive,41,8
Intha padamavuthu s.k ku nalla come back ah irukanum...,Not_offensive,55,9
Dance Illa p. Deva vai paarkave mudiyadhu pola,Not_offensive,46,8
"Love scenes la Vera level thalaivar,",Not_offensive,37,6
இந்த படம் மாபெரும் வெற்றியடையும். #கமல்ஹாசன் ரசிகா்களின் வாழ்த்துக்கள்,Not_offensive,71,7
STR MASSSSSSSSSSSSSSS #ENIMEH NAMBA THAN DA,Not_offensive,43,6
Otha vaaya odachiruven thalapathiya pathu sirichirukka,Offensive_Untargetede,54,6
Abe sale ye toh tatti hai,not-Tamil,25,6
B- Bhayakaramana A- Ajith I- In R-Rasigar A-Admitting V-Vijay A-Anna A-Awesome <3,Not_offensive,82,12
Just 10 years apadiye elarum patha mathiri irukinga 🥳 padam vetriyadaya Vazthukal 🥳🥳🤩🤩,Not_offensive,86,13
Die Hard #Thala Fans Hit LIKE...,Not_offensive,32,6
"மணிரத்னம்,AR ரஹ்மான், வைரமுத்து, சந்தோஷ் சிவன் தமிழ் சினிமா ல இல்லல்ல இந்திய சினிமால யே கால் நூற்றாண்டுகளா(25 வருசம்) ஒரே team இல்லல்ல உண்மையான நண்பர்களா இருந்துகிட்டு இருக்காய்ங்கே னா அது இந்த team தான் படம் எப்ப வரும் னு எதிர்பார்ப்பா இருக்கு.",Not_offensive,248,33
Singam Sinletha Varum BAIRAVAA Baikkiramma Varum,Not_offensive,50,6
Super semma mass from vijay fan,Not_offensive,31,6
"நாடகக் காதல்... குடும்பத்தோட பொண்ணு வீட்டுக்கு போய், வசதி வாய்ப்பை பார்த்து எவ்ளோ பணம் தேறும், நகை தேரும், சொத்து பத்து தேறும்னு கணக்கு போட்டு கல்யானம் பண்ணி, ரெண்டு நாளோ மூனு நாளோ பார்த்தவன்/வ கூட அன்னிக்கி நைட்டே படுக்கறதுக்கு பேரு தான் நாடகக் காதல்.",Not_offensive,259,34
வெற்றி பெற வாழ்த்துக்கள் கண்டிப்பாக திரையரங்கில் பார்க்கவேண்டும்,Not_offensive,64,6
Enagada traileriye verithanama yeduthurukinga...apo padam...screen kiliya poguthu...semmaaaaaaaa thalaivaa,Not_offensive,107,8
8000 dislike people should die as soon as posiible,Offensive_Untargetede,50,9
இது சாதி படம் அல்ல பெண்களின் படம் ஒரு சில பேர் பண்ணும் தவறால் சாதிக்கு கெட்ட பேரு அதான் படம்,Not_offensive,92,16
ஜெயம்ரவி ௨ங்கமேல நல்ல மறியாதை இருக்கு தலைவரை நிங்கள்ளும்மா,Not_offensive,58,7
வெற்றி பெற வாழ்த்துக்கள்... வெள்ளாளர் சார்பாக,Not_offensive,46,5
Marana bangam...Verithanam Overloaded to Surya Anna Fans...Hmm kola Mass pannuga Pangaligala...,Not_offensive,95,11
Goosebumps vantha vangala la like podungo,Not_offensive,41,6
Intha padam varanum samuga matrathirkana padam...18k dislikes ithula ena theriuthu avlo poriki porikitu iruku ponnungala...,Not_offensive,124,16
MARVEL MEDIA MY CHANNEL. Pls visit subscribe,Not_offensive,44,7
Sirappana tharamana sambavatha inimel dha paakka porom,Not_offensive,54,7
0.41 look at the name tag vijay kumar,Not_offensive,37,8
#திரௌபதி சாதி வெறி படம்...சிறுத்தைகள் அப்ப ப.ரஞ்சித் எடுத்தது என்ன #A படமாடா நாயே🤣,Not_offensive,84,11
அன்றைக்கு எங்கள் குல சாமி சொன்னது திரௌபதி திரைப்படம் இவண்.மாவீரன் தம்பி சரத்...🦁🦁🦁,Not_offensive,82,10
Both VCK & PMK Fraudu pasanga than da En da itha padathula kaati engala makkala Jaathi kalavaram thoonduringa,Not_offensive,110,18
Manasu kulla irrundha kovam lam ippa வெட்ட வெளிச்சம் ஆகியிருக்கு.. நன்றி படக்குழு,Not_offensive,82,12
You kena tunggu lebih lama lagi untuk tahu saya! Who heard this Malaysians?,not-Tamil,75,13
Theatre ellaam insure panni vachukkangappaa.. 2.00 la theatre ellaam kandam!,Offensive_Untargetede,76,10
Naaa arasiyalukku varuvathu uruthi...Rajini tells this dialog since 96. Semme joke.,Offensive_Targeted_Insult_Individual,85,11
Thalaivar vera level Suriya ennoda uyir Avaru oru rockstar,Not_offensive,61,9
Wow wow wow... suriya Anna,Not_offensive,27,5
Comali 9looks teaser la varave Ella,Offensive_Targeted_Insult_Group,35,6
அருமை... 10000000%சிறப்பு... வாழ்க. குடும்பத்தினரோடு சென்று திரையரங்கில் மட்டுமே பார்ப்போம். இப்படிக்கு தேவர் மகன்.,Not_offensive,122,11
Jimmki kammal has more views 🤣,Not_offensive,30,6
U1 BGM massssssss verala level thala look semaaaaaa,Not_offensive,51,8
வாழ்த்துக்கள் நண்பா... சமூகத்தின் நடக்கும் உண்மை சம்பவங்களை படமாக எடுத்ததற்கு நெஞ்சார்ந்த நன்றியைத் தெரிவித்துக்கொள்கிறேன்.. இது போன்ற படங்களை மென் மேலும் படைக்க வாழ்த்துக்கள்...,Not_offensive,179,18
Mani Ratnam kitta ippdi oru script huh... Omg... Vera level!!(,Not_offensive,62,10
panggaaligala 2 million likes varanum innum vegama like ah therika vidunka,Not_offensive,74,11
Ayyyo thalaialva Vera lvl confirm ellaflrume RAJINIFIED,Not_offensive,55,7
Atlee verumpaya illa. Trailer layae evlo azhaga Katha soldraan!!!,Not_offensive,65,9
Pa Ranjith paru Da unaku sc St quote job government job quarters ellam cancel pannanum,Offensive_Targeted_Insult_Individual,86,15
Kajal Agarwal is back I so happy,Not_offensive,32,7
Vijay sethupathy sir saggatamizanpadam edutha eppti odama iruku I am waiting makkal selvan🤩🤩🤩🤩🤩🤩🤩,Not_offensive,97,13
Kadasi word its super (oruthavanga mela visuvasatha katrathukaga innoruthavangala asinga paduthathinga).,Not_offensive,105,11
thalaiva tharu maru marana mass vilayadalama,Not_offensive,44,6
2.04.Rajini ah serupala adicha Maari irundhuchu,Offensive_Targeted_Insult_Individual,48,7
SK kagha paaka vandhavangha like pannungha,Not_offensive,42,6
But graphics sothapal panitanuga English Kara pottainga athan Padam late ayirichi,Not_offensive,81,11
அரசியலுக்கு வருவது உறுதி... ரஜினி... இது 1996... 🤣🤣🤣,Not_offensive,57,10
Anyone after NGK n Kaappaan teaser,Not_offensive,34,6
Friend nu FB la Like Kudukkara Friend dunu nenachiya life be kudukkanu da,Offensive_Targeted_Insult_Group,74,13
Ella scene summa therikuthu Kandipa veraleval blockbuster,Not_offensive,57,7
Gujarath patel inathin sarbaga vetri pera valthukkal,Not_offensive,52,7
unaku yaravathu palaya friendu irukangala... nambatha...,Not_offensive,60,6
Statue odaikalam but b.r. kolkai alika mudiyathu,Offensive_Untargetede,48,7
Surya anna huge fan from #mangalore #coastal_Karnataka #tulunadu,Not_offensive,64,8
Please telugu dubbed telugu danush fans,Not_offensive,39,6
Iron man fans dis like podunga intha vidio kku,Offensive_Targeted_Insult_Other,46,9
Kuch samhj to nahi aaya but rajni did not needs any luggange he always rocks,not-Tamil,76,15
pakathane pora Intha kaliyoda attatha 🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘🤘,Offensive_Untargetede,53,6
Marana mass ah irukke...song um trailer um...saavadi,Offensive_Untargetede,52,7
Mersal ku siricha siripu viswasam movie ku illa..idhu enna da anil ku vandha sodhanai,Offensive_Untargetede,85,14
Tamil trailer nachina vallu okka like here,Not_offensive,42,7
thala mattum than original mass...bcoz others papaerla vilambaram kotuthutu poraku trailar release panittu sathanai pannittatha pithikuvanga thala mttum than vilambarame seiyamal kalakkuvaar...thalada....,Offensive_Untargetede,208,23
Ennada ipadi yeduthu vechurkingha...paaaaaaaaaph,Offensive_Untargetede,52,5
Kaakaa pudikaa sollalllaa...kaakaa vukaaa unna pudikudhu🤣🤣,Offensive_Targeted_Insult_Individual,63,6
Yevan ya camera man... Semma Visuals... Amazing...,Not_offensive,53,7
Ashok selvan padam nampi pogala perusa onnum vachi seiya mataru,Not_offensive,64,10
Nerkonda paarvai trailer review -,Not_offensive,33,5
2 years aagiduchu innum movie varala,Offensive_Targeted_Insult_Group,36,6
Generally bap se beta sawai...lekin yaha Bete(aditya varma)se bap sawai...,not-Tamil,80,10
Trailer paka poren. RowThiram maari iruntha kandipa theatre,Not_offensive,59,8
Rajini Style maaa. Enna therikka vidalamaAAAAAAAAAA,Not_offensive,51,6
