Negative	Enna da ellam avan seyal  Mari iruku
Negative	This movei is just like  ellam avan seyal
Positive	Padam vanthathum 13k dislike pottavaga yellam yea da dislike  pannom nu feel pannanum
Positive	Neraya neraya neraya... ... V era level...thala
Positive	wow thavala sema mass....padam oru pundaikum aagathu
Negative	Andha 19 k unlike panavangaluku kolandha porakathu
Positive	Yaarellam frst like pottutu video paaka start paneenga....hit like
Positive	Ethana padam vanthanu SALT AND PEPPER Mattum than..THÃLÃ🤩🤩
Positive	Thala mass  Hvy sprt kerala Surya anna fans
Negative	Elam avan jayal movie  remake pa
Positive	Dhayavasenju indha padathula mass ila mayiru ila nu yevanum saavadikadheenga.. let him do such roles.. it's healthy!
Positive	vera lvl.... Thala sammaaaaaaaaaaaaa......Bgm sammaya iruku
Positive	Romba nal aparam ajith ah normal ah pakaran siva oda build up illama tharamana trailer.....
Positive	Nirav shah ....  Love u ma dear.....
Positive	Padam hit nu nenaikkuravange like podunge ..... Naan pottutten..
Negative	Thevdiya pasangala intha trailer ku enna da kora evlo dislike uh punda mavanungalae
Negative	Dislikes podura thevidiya kandara oooooooli pasangala
Positive	Neenga viswasam ah irukkurathukku mathavangala yan asinga paduthuringa....#Thala...Vera level.....
Positive	Superb thala... By thalapathy fan... Naraya naraya naraya... Vera vera vera 2um sink agudhu....
Positive	Last dialogue  epo ellam may epd than jalra taturaga
Positive	More than 20 times paathavanga mattum like pannunga..
Positive	Thala and yuvan bgm Epa dae
Positive	Konjam purithu konjam puriyala.. But gud
Positive	Rangaraj pandey dummy piece   Thala munnadi
Negative	ennada setha ponam mari argue pandran
Negative	Gommala Thala da. Verithanam
Positive	Oru scene vachalum valuvaa irukuu trailer thala
Positive	Wowww thala Ajith Kumar is awesome paaaaaaaaa
Positive	Neraya Neraya Neraya like varanum  #thala rasiganda
Positive	Final touch thala mass ah soli irukapala  ketukonga da inimel aachum olunga irunga.... Ozm thrilling Trailer
Positive	after longtime i am watch my dear thala(apudi ellam nadakathu nadakka vittta maten...)
Positive	Acting to nxt level of thala ...U1 maranabangam..
Positive	thala thanta thalaiya minja evanta
Mixed_feelings	Normal ah than iruku over ah laam illa expect panra aalavuku onum illa
Positive	Itha trailer Ku dislike pannuraven girls ku against ta irupan pola.... You mom also girl..
Positive	Thala   verithanam  intha padam rapists ku marana serupadi kudukum
Positive	Thala fans for ravathanallur uthiramerur kanchipuram
Positive	Aiyo enaku ipave thalaya padathula pakanumnu eruku
Positive	Oruthar mela viswasam kaataruthukkaaga innoru thara yen asinga paduthiringa  ... To all fans
Positive	Yavan da sonna  NKP  Ku expection varadunu Thala daaaaaaa
Positive	Thalapathi fan.But dislike panna manasu varala
Positive	What ah speech Thala Ajith Kumar
Positive	Trailler pidikkadhavangalaam  like pannunga    expect panna alavukku trailer illa oknna like pannunga....
Positive	Thala acting vera level nu solravanga like panunga
Positive	THALA always masss.. Ippo sollava venum Y1 music vera level ah irukkum... .
Positive	Thala and yuvan ..like ha therika vidungada pasangala...bgm vera level ..
Positive	Now you are lying lying lying. Thala mass
Positive	Usure mela poitu varuthu Thala ungala paakum pothu.....
Positive	Thala court scene marana mass dialogue delivery super duper hit
Positive	Thala  looking  mass
Positive	@0:21 oh man, Thala looking amazing
Positive	Thalaaa !!!!!!.....yuvan poramboku ena da bgm potu vechirka
Positive	Adangappa semma tralier fight na innum thrikum 🤗🤗🤗
Negative	Ayioooo mudela da punda yanna detu padom purela da 🤔🤔
Positive	Hindi padam trailer patha maari iruku
Positive	Nadigar Ajith I kaanaa.... We are waiting...
Positive	Idhu podhum thala idhu podhum thala aiyooooo sema thala nee
Positive	Iam Vijay fan.... Trailer Vera levelsemaa Thala
Positive	Ayyyoo thala pindriye thala.... Vera level dharisanan thala
Negative	dislike panna terrorist ah adichu kollunga da
Mixed_feelings	Amithap patchan acting ivaruku koncham kooda set agala ... acting koncham change pannirukalam
Positive	R u vergin .....vara level opening thala...
Positive	Social luku theva pada koodiya Padam
Positive	Ioooo iooo iooo ennanu solrathu thala nenga vera leval...
Positive	Thala ungaluku edu enai yevarum ellai tamil cinemavirke yendrum nengalthan chella pillai vera level thala nenga
Positive	Sigaramna Everestu Nadipunna Enga Thala Ajith kumaru
Positive	Ithuku  than nalla tharamana directora venum ndrathu thalaiku yetha tharamana kadha🥳🥳🥳🥳🥳🥳 bayangaram 🥳🥳🥳🥳🥳 pichitaru thala🤩🤩🤩🤩🤩
Positive	Last part music I love it
Positive	Appedilaam nadekaathu, nadake kudaathu!! The bulls eyes🤩
Positive	Yellam great... Ivarukaga theva ilama oru fight scene add paniruku padathula... Unwanted.. adhe originality nalla irundhirukum avaruku... Little disappointed..
Positive	Thala love you so much ummmmmmmmmma
Positive	Unga viwasatha kaata mathavangala yen avamana paduthureenga!!!thala for u.... thala bloods....
Positive	Ajith sir in veru patta nadipu.vera leval
Positive	Intha padam kandippa crime story aatha irukkum
Positive	Romba varusam kalichi..ajith anna..nalla padathula nadikiraru ..good luck
Positive	From Karnataka kiccha  Sudeep fans like here
Positive	Trailer oda kadaisi dialogue, Kola mass
Negative	Ellam avan seyal movie madri iruku
Positive	Maaassssssooooooooo maaaassss thalaya ipti oru puthu role la paakrapa as a thala fan romba happy ah erukku
Positive	Amma sathiyama sollunga da indha trailer nalla illainu neengalam thirundhave mattingada
Positive	1:16 Rangaraj Pandey.. Avar nadikkala. Avaroda velaya padathula seiraru
Positive	Thaaru maaru... Thala ku Film Fare award confirm...
Positive	Come on Thala fans beginning festival  Nerkonda paarvai
Positive	Ellam iruku but ethoo miss aguthu ...that mass avlova illa
Positive	Oruthar mela viswasam katradhukaga inoruthara aen asingapaduthringa    Sema Thala.........
Positive	Romba nal kaluchi thalaya opening scene illama pakuran
Positive	Yuvan da ivana minja Evan da
Positive	Ippidi nariya nariya nariya superb dialogue
Positive	Oruthar mela neenga viswasam kata.. Inoruthara neenga asinga paduthuringa.... Deep
Positive	Padam nalla irukko illaiya but thala eppovum mass ahh irukkanum...
Positive	Samaa superrr thala machans oru like podungha
Positive	Niraya niraya niraya paer wait pannitirukkom thala.
Positive	Thala mass dialogue class vera level
Negative	THALA padama ITHU koothi maari iruku trailer....... Padam punda mathiri irukum pola
Positive	Ajith = h.Vinod= Siva = h. Raja
Positive	Manushan epudi vanthalum tharama irukaru ya... THALAAA... This time CLASSY After a MASS VISWASAM....
Positive	Last ah keta kelvi...paaahhh semmaa thala
Positive	Thala darisanum, yenna charisma, yenna English, yenna alagzhu, lion voice.. thala blood thala veriyan from Bangalore
Positive	Vera level thala marana mass thala I am waiting
Positive	Appudila nadakathu.... Nadaka kudathu....             Thala
Positive	Kerala Vikram fans like butten Adichu pottikku
Positive	Vikram he to best hi hogi..
Mixed_feelings	Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....
Mixed_feelings	Vechu senjutinga thalaiva ... Padam marana mass. Kandipa innoru vaati pakkanum
Positive	Superb movie!!! Vikram looks Mass!!! Well made movie ..no lag...
Mixed_feelings	Vikram looks just like he was in iru mugan. Looks cool !
Positive	Vayase aagala pa.. ena effort chanceless.. 🤙
Positive	Die hard chiyaan fans like here
Positive	படம் எப்ப ரிலீஸ்??? When this movie  release???
not-Tamil	U kena tunggu lebih lama lagi untuk tau saya.. You have to wait longer to know me
Positive	omg, Indian filmmaking is so embarassing xD
Positive	Vara vara gibran bgm la kalakkuran
not-Tamil	Movie kab release hogi uska date fix batao
not-Tamil	Kuch samajh nai aaya , lekin dekh k acha laga.
not-Tamil	Hollywood movie ka remek hain point blank ka
Positive	chiyan veriyan ivan pandiyan  street aruppukottai
not-Tamil	Plzzzzzz sir ji hindi me bhi chahiye..
Positive	AR rahuman on board chiyaan vikram 58
Positive	213k likes but just 3.9 unlikes only fr chiyaan
Positive	nenga vilaiyanadhuu enn kitte Ella yeman kittee..
Negative	movie nadikiradhuku theramai thevai illai kaasu irundha podhum (example : aksarahasan )
Mixed_feelings	Ivaruku vayasu agala vayasu koranchukitu iruku
Positive	Neenga velayadanathu enkitta illa yeman kitta  Only one dialogue is enough  chiyaan uyir
not-Tamil	you kena tunggu lama lagi kalau nak tau saya...malay punch dialogue
Positive	Vikram sir efforts are best but stunts scenes nenacha dhan bayama iruku
Positive	Vikram Telugu fans hit like here
Positive	Vikram Hair Style....Pidichavanga Like Podunga Pa..... Naamalum Vaipom Future Le...Andha Hair Style Le.....
not-Tamil	you kena tunggu lama lagi untuk tosai !!!
Positive	Age is not a matter for vikram
Negative	Ethana peru ethu maari padathula ajith nadikanum nu nenaikuriga?
Positive	Die HEARTfan of VikramSir ...  FROM Tollywood ....
