Category,Text
Empty,
Very Short,hi
English Only,This is a completely normal sentence.
Tamil Only,இன்று கல்லூரிக்கு சென்றேன்.
Code Mixed,Inniku college romba busy ah irundhuchu.
Code Mixed,Naan assignment complete pannitu submit panniten.
Out of Vocabulary,qzxvpl mnrtyu kkkzz randomword
Unknown Words,abcxyz_9876 qwertyuiop zzzunknown
Special Characters,@#$%^&*!!!
Misspelling,I realy like this movie becuse it is good.
Slang,Semma mass ah irukku da!
Mixed Script,நான் today college போனேன்.
Repeated Text,good good good good good good good good
Numbers,Meeting at 10:30 AM on 25/09/2026.
Very Long Input,This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. This is a deliberately very long input sentence used to test the model window. 
