Case,text,actual_label,baseline_prediction,transformer_prediction,baseline_correct,transformer_correct,category,error_analysis
F1,suma kaththaatha da sound over a pooda kudaathu pa s3 1 month oda stop aakidum then bairavaa da aaddchi than kaththi kaththi thondaiya kilikatha pa,Offensive_Untargetede,Offensive_Targeted_Insult_Individual,Offensive_Targeted_Insult_Group,False,False,Both Wrong,The sentence is heavily code-mixed and uses transliterated Tamil with colloquial expressions and film references. The intended offensive category depends on interpreting the surrounding context and the target of the expressions. Both models identify an offensive interpretation but assign incorrect targeted categories.
F2,ஆனவக் கொலைகள் நடக்காவிடில்...நம் அடையாளம் அளிக்கப்படும்... இயக்குனருக்கு வாழ்த்துக்கள்...தமிழ்நாடு முத்தரையர்கள்,Offensive_Targeted_Insult_Group,Not_offensive,Not_offensive,False,False,Both Wrong,"The comment is written in Tamil script and contains references to killings, identity, and a social group. Its interpretation depends strongly on the surrounding social context. Both models predict non-offensive, while the dataset annotation assigns a targeted group-insult category."
F3,Power ranger megazord niyabagam vantha hit like,Offensive_Untargetede,Not_offensive,Not_offensive,False,False,Both Wrong,The comment is very short and informal and refers to the Power Rangers Megazord before asking users to like the content. There is little explicit linguistic information indicating the annotated offensive category. Both models therefore predict non-offensive.
F4,0:28 Shaktimaan Parle-G Biscuit SaptuNaanum sinna vayasula jump panni parakka try pannirukken 90's Pasanga Da 🤣,Offensive_Untargetede,Not_offensive,Offensive_Targeted_Insult_Group,False,False,Both Wrong,"The comment combines transliterated Tamil, English, a film-character reference, childhood nostalgia, and an emoji. Its meaning is largely conversational and humorous, while the dataset assigns an offensive category. Both models fail to recover the annotated interpretation from the available text."
F5,எவனுக்கும் அடங்க மாட்டோம்... எவளுக்கும் மயங்க மாட்டோம்🤙... # நாடக காதல் # கும்பல்களை வேரோடு அழிக்க வந்த # திரௌபதி படத்திற்கு.. தேவேந்திர குல வேளாளர் சார்பாக வாழ்த்துக்கள்.,Offensive_Targeted_Insult_Group,Not_offensive,Not_offensive,False,False,Both Wrong,"The comment contains colloquial Tamil, hashtags, a movie reference, and references to social groups. The intended interpretation depends on social and contextual information rather than only individual words. Both models predict non-offensive despite the dataset assigning a targeted group-insult category."
F6,Movie yachum nailla eruka nu papom,Offensive_Untargetede,Not_offensive,Not_offensive,False,False,Both Wrong,This is a very short Romanized Tamil sentence with informal spelling. The non-standard transliteration and limited context provide few reliable lexical cues for classification. Both models predict non-offensive although the dataset label is an untargeted offensive category.
F7,nice aana teaser starting laa vandha dialogue mgr sir engaveetu Pillai la padina naan anai etal ooda middle lines laa...,Offensive_Targeted_Insult_Other,Not_offensive,Not_offensive,False,False,Both Wrong,"The comment contains transliterated Tamil, English words, a film reference, and informal abbreviated expressions. Its interpretation requires understanding the conversational context rather than relying only on individual words. Both models predict non-offensive although the dataset assigns a targeted insult category."
F8,Yannada trailer idhu yadho oruthava family la nadakkura kadhaiya yaduthu vachirukka,Offensive_Untargetede,Not_offensive,Offensive_Untargetede,False,True,Transformer Correct - Baseline Wrong,"The comment is an informal transliterated Tamil statement criticizing a trailer. The baseline predicts an untargeted offensive category, whereas the Transformer predicts non-offensive, matching the dataset label. The baseline appears to be more affected by negative or critical surface wording without correctly interpreting the overall context."
F9,Dai unmaiyanumea marana kattu katuvega pola,Offensive_Untargetede,Not_offensive,Offensive_Untargetede,False,True,Transformer Correct - Baseline Wrong,"The sentence is a short Romanized Tamil expression containing colloquial and emphatic language. The baseline predicts an offensive category, while the Transformer predicts non-offensive and matches the dataset label. This indicates that the informal expression can resemble offensive language to a surface-based classifier even when the overall sentence is annotated as non-offensive."
F10,🤣🤣🤣 video ku dislike pottavangalam vanthu Inka oru like ah thatti vitutu ponga,Offensive_Targeted_Insult_Other,Offensive_Untargetede,Offensive_Untargetede,False,False,Both Wrong,"The comment uses laughing emojis and informal Romanized Tamil-English language while discussing users disliking and liking a video. Both models predict untargeted offensive language, whereas the dataset assigns a targeted insult toward another entity. The main error is therefore determining the target and type of the offensive expression."
F11,கோமாளி90'பசங்க வெறித்தனம் இந்த படத்துல தெரியும் டா90'பசங்களோட வலி அப்போ. இப்போ,Not_offensive,Not_offensive,Offensive_Targeted_Insult_Group,True,False,Baseline Correct - Transformer Wrong,"The comment contains colloquial Tamil, a reference to a group of people, and an informal expression describing their behaviour. The dataset labels it as non-offensive, but the Transformer predicts a targeted group insult. The model may be interpreting the group-related wording as offensive without sufficiently considering the overall positive or descriptive context."
