text,actual_label,predicted_label
suma kaththaatha da sound over a pooda kudaathu pa s3 1 month oda stop aakidum then bairavaa da aaddchi than kaththi kaththi thondaiya kilikatha pa,Offensive_Untargetede,Offensive_Targeted_Insult_Group
ஆனவக் கொலைகள் நடக்காவிடில்...நம் அடையாளம் அளிக்கப்படும்... இயக்குனருக்கு வாழ்த்துக்கள்...தமிழ்நாடு முத்தரையர்கள்,Offensive_Targeted_Insult_Group,Not_offensive
Power ranger megazord niyabagam vantha hit like,Offensive_Untargetede,Not_offensive
0:28 Shaktimaan Parle-G Biscuit SaptuNaanum sinna vayasula jump panni parakka try pannirukken 90's Pasanga Da 🤣,Offensive_Untargetede,Offensive_Targeted_Insult_Group
எவனுக்கும் அடங்க மாட்டோம்... எவளுக்கும் மயங்க மாட்டோம்🤙... # நாடக காதல் # கும்பல்களை வேரோடு அழிக்க வந்த # திரௌபதி படத்திற்கு.. தேவேந்திர குல வேளாளர் சார்பாக வாழ்த்துக்கள்.,Offensive_Targeted_Insult_Group,Not_offensive
Movie yachum nailla eruka nu papom,Offensive_Untargetede,Not_offensive
nice aana teaser starting laa vandha dialogue mgr sir engaveetu Pillai la padina naan anai etal ooda middle lines laa...,Offensive_Targeted_Insult_Other,Not_offensive
🤣🤣🤣 video ku dislike pottavangalam vanthu Inka oru like ah thatti vitutu ponga,Offensive_Targeted_Insult_Other,Offensive_Untargetede
கோமாளி90'பசங்க வெறித்தனம் இந்த படத்துல தெரியும் டா90'பசங்களோட வலி அப்போ. இப்போ,Not_offensive,Offensive_Targeted_Insult_Group
Aathi kanithan 2 paatha maarilla iruku...,Offensive_Targeted_Insult_Individual,Not_offensive
Vaa thalaiva..ENPT ku serthu idhula bangam pandrom..!!,Offensive_Untargetede,Not_offensive
"Ennathu ithu konjam kuda sense illama,pakkum pothu kudava ungalukku antha ponnu j.j konjam kuda match agalanu thonala...waste of time",Offensive_Targeted_Insult_Group,Not_offensive
trailerna ithu trailer pakka mass & class like muyal vegham dislike Aamai vegham dear hatter's Uusshh |,Not_offensive,Offensive_Untargetede
Sivakarthikeyana vida Action king than neraiya edathula vararu,Offensive_Targeted_Insult_Individual,Not_offensive
intha Diwali ku iruku aaaappppu iruku..but yarukunu na sollamata,Offensive_Targeted_Insult_Other,Not_offensive
Kozhandhaila vellaya iruparam.valandha karupa iruparam.idhudhan avaroda super power ah.indha logic ah epo da mathuvinga,Offensive_Untargetede,Offensive_Targeted_Insult_Group
Ghibran pundaya vitta ungalukku vera aale kedaika laya da.,Offensive_Targeted_Insult_Individual,Offensive_Untargetede
Paka thana pora Inda kaliy to atatha,Offensive_Untargetede,Not_offensive
Oruthar mela neenga viswasam katrathukaga innoruthara yen asingam paduthuringa by thala Ithu ovvoru thala and thalapathy fan kum therinjurukanum,Offensive_Untargetede,Not_offensive
SK fans ah vida Arjun Fans than adhigama irukainga daw,Offensive_Targeted_Insult_Individual,Not_offensive
Poga dai sarkar tha best NGK waste,Offensive_Targeted_Insult_Group,Offensive_Untargetede
Ana trailer pathona exaitment thanga mudyala,Offensive_Targeted_Insult_Group,Offensive_Untargetede
Mysskin nalla talented director thaa aana edhukku udhayanidhi ya select pannaru nu terla,Offensive_Targeted_Insult_Individual,Not_offensive
Ninga evlo sonnalu namma natu pasanga thirunda maatanga,Offensive_Targeted_Insult_Other,Offensive_Untargetede
Nammakitta kaadu irundha eduthukiduvanuva Ruva irundha pudingiduvanunuva Padippa mattum nammakittarndhu eduthukidave mudiyadhu,Offensive_Untargetede,Not_offensive
"Intha selvaakai vaithu ivar arasiala onnum pudunga mudiyaathu. Venum endral, thanudaya padahukku athigamamna vilayil black ticket vithu panam sambathikalaam. Thamil makklaukku intha karumiyai patri indru nalave theriyum.",Offensive_Targeted_Insult_Individual,Not_offensive
No dialogue music copy from titan give royalltey,Offensive_Targeted_Insult_Group,Offensive_Targeted_Insult_Individual
Enakku trailer purinjuthu...ethukku idhula udayanithi Stalin vararu nu theriyala 🤣,Offensive_Untargetede,Not_offensive
Dei Namma aalu Vijay sethupathi irukkida. Mutheeeeiiiii,Not_offensive,Offensive_Untargetede
Dei man of steel oda saayal theriyudhey... Ena unga kadha?,Offensive_Targeted_Insult_Individual,Offensive_Untargetede
Udhay ku kannu theriyadho indha movie la🤔,Offensive_Targeted_Insult_Individual,Not_offensive
Devidiya punda... eva yaru da gommala,Offensive_Targeted_Insult_Group,Offensive_Untargetede
இது உண்மை...திருமாவுக்கு சரியான செருப்பு அடி... இதே தேவேந்திரகுல வேளாளர் மக்கள் வரவேற்கிறோம்...,Offensive_Targeted_Insult_Individual,Not_offensive
Mugamoodi part 2,Not_offensive,Offensive_Untargetede
Rip Sr Prabhu punda mavan... Ne theru Kodi thaan di... Sad luck Karthi and Lokesh Anna...,Offensive_Untargetede,Offensive_Targeted_Insult_Individual
oruthar mela nega viswasam katurathu naala yen inorutha mela verupu katurega,Offensive_Untargetede,Not_offensive
"Padam flop dhan pola, enna vijaya production logo hindi la eruku modhala adha mathungada",Offensive_Targeted_Insult_Other,Offensive_Targeted_Insult_Group
Dislike varathuna avan naadaka kadhal kootam than,Not_offensive,Offensive_Untargetede
edhukku indha loosu pundai aryava movie la eduthinga gowtham karthick nalla irunthurukkum,Offensive_Targeted_Insult_Individual,Offensive_Untargetede
I have never seen avideo like it this is killer,Offensive_Untargetede,Not_offensive
Aiyo intha koothiyanunge likes ku pichai eduka arambicitanungele,Offensive_Targeted_Insult_Other,Offensive_Untargetede
Love uuu superstar... Jzt killed it..,Offensive_Untargetede,Not_offensive
Vera Level Trailor Ali Ajith Fans Inka Vanthu Sunni Ooombama orama poi pool paandi da poola vaayila edunkada,Offensive_Targeted_Insult_Individual,Offensive_Targeted_Insult_Group
பரதன் விக்கு வெச்சிட்டானாம் அங்க சிவானு ஒருத்தன் வாயில வெச்சினு இருக்கான் அதெல்லாம் கேக்க மாட்டானுவ,Offensive_Targeted_Insult_Individual,Offensive_Targeted_Insult_Group
mayruva buyrawa mokkawa sappawa serupouwa pruppuwa vijay oru potta wa,Offensive_Targeted_Insult_Individual,Offensive_Untargetede
"ஜாதியை ஒழிடான்னா இவனுங்க ஜாதியை கூதியிலத்தான் தேடுறானுங்க, ஒம்மால...!",Offensive_Untargetede,Offensive_Targeted_Insult_Group
Ithu 96 yara yematha pakkra.. innumaya athey dialogue...,Offensive_Targeted_Insult_Group,Not_offensive
Annanu angu keralavilum und katta fan base,not-Tamil,Not_offensive
Movie fullaa night la mattum shoot pannittanga pola...🤔,Offensive_Untargetede,Not_offensive
Power rangers padam patha Madri iruke 🤔,Offensive_Untargetede,Not_offensive
Jayam ravi:Chinna vayasula oru yerila kulipom la anga polam da.. Yogi babu: Athu mela than da nadanthuchu poinu irukom..,Offensive_Targeted_Insult_Individual,Offensive_Targeted_Insult_Group
Trending List layae Illa Ppaaa,Offensive_Untargetede,Not_offensive
இதுல எது புடிச்சிருக்கு திரு மாமா வளவன் தெரு மாமா வளவன் திரு மாமா கிழவன் தெரு மாமா கிழவன்,Offensive_Targeted_Insult_Individual,Offensive_Targeted_Insult_Group
Bestie nu sollitu matter aah panranga...ivaru friend irunthu wife kooda matter panna mataram...,Offensive_Targeted_Insult_Group,Not_offensive
Indha bgm kekumpodhu viswasam bgm mind la vandhutu pogudhu..,Offensive_Targeted_Insult_Individual,Not_offensive
***tha Remake na Ippadi irukanum,Offensive_Untargetede,Not_offensive
"இங்க வெறுப்பை பதிவு செய்யுரவங்கள கொஞ்சம் ஆய்ந்தறிந்தால் புரியும், அவனுங்களும் இந்த டிராமா லவ் கோஸ்டின்னு!!",Not_offensive,Offensive_Targeted_Insult_Group
Enna ya holly wood ye munji duva pola myskin,Not_offensive,Offensive_Untargetede
kena koothi...kullan surya... kevalamana dialogues and bgm...sure shit flop... Sivakarthikeyan paathu kathuka...,Offensive_Targeted_Insult_Individual,Offensive_Targeted_Insult_Group
vijay fanes unga movie ku 400k dislike varum atu confirm airuchu,Not_offensive,Offensive_Untargetede
Yanaku arivillaiya muddaa kothi Apurem santhanam madum yanga irunthu vantharu kilinja vayanukallam support u,Offensive_Targeted_Insult_Individual,Not_offensive
ENPT release agalanu kavala illa aurathanamana Asuran varuthu adhu pothum...,Offensive_Targeted_Insult_Individual,Not_offensive
Edho sadhi nadakudhu pa inum trending la varala,Offensive_Untargetede,Not_offensive
thaaru maaru.. thakkali soru...,Offensive_Untargetede,Not_offensive
Dhanush nd vijay fans lam veetla okkandhu azhuvanga,Offensive_Targeted_Insult_Individual,Not_offensive
Ellam avan seyal film mari iruke lyt ah dha full ah illa,Offensive_Untargetede,Not_offensive
Thirumavalavan groups mattum thaan katharitu irukanunga,Offensive_Targeted_Insult_Group,Not_offensive
Last dialogue for petta viswasam problem🤔🤔🤔🤔,Offensive_Untargetede,Not_offensive
Yanna pa sollama kollama eppati release,Not_offensive,Offensive_Untargetede
Ilayaraja sir... Beethoven music ah Unga padathula potu irukinga... Anmai iladhavan dhana ipadi panuvaan... neenga dhana sir soninga?,Offensive_Targeted_Insult_Individual,Offensive_Untargetede
un like pandravan cinmava pakka kutathu..yenna avan oru rasanai Ellathavan theri semma mass,Offensive_Untargetede,Not_offensive
Ivanga appan oru jathi veri piducha nayee,Offensive_Targeted_Insult_Individual,Not_offensive
so poor dialogue delivery From Mohanlal...,Offensive_Targeted_Insult_Individual,Not_offensive
